asset_id,category,type,priority,dimensions,prompt,style_notes,output_format
pr-badge-weight,celebration,badge,P0,48x48,"Minimal dumbbell icon, side view silhouette, clean geometric shapes, flat design, single solid color on transparent background, no gradients, no shadows, centered composition","Must work as single-color tintable asset. Keep design simple - max 3 shapes. No 3D effects.",SVG
pr-badge-rep,celebration,badge,P0,48x48,"Stylized multiplication or repetition symbol, abstract repeating pattern icon, minimal geometric, flat design, single solid color on transparent background, no gradients","Represents 'reps' concept. Consider interlocking shapes or x-pattern. Must be tintable.",SVG
pr-badge-e1rm,celebration,badge,P0,48x48,"Crown icon or single star, clean geometric design, sharp edges, minimal style, single solid color on transparent background, represents achievement/mastery","Elite achievement badge. Crown or 5-point star. Simple and bold. Tintable.",SVG
rank-badge-border-iron,border,frame,P1,64x64,"Decorative badge frame, industrial metal aesthetic, rivets or bolts at corners, rough texture edges, iron gray color (#71797E), transparent center, circular or shield shape","Iron tier - rugged, industrial, entry-level feel. Fixed color.",SVG
rank-badge-border-bronze,border,frame,P1,64x64,"Decorative badge frame, hammered metal texture, warm bronze patina, organic curves, bronze color (#CD7F32), transparent center, circular or shield shape","Bronze tier - crafted but humble. Hint of warmth. Fixed color.",SVG
rank-badge-border-silver,border,frame,P1,64x64,"Decorative badge frame, polished silver finish, clean geometric lines, elegant simplicity, silver color (#C0C0C0), transparent center, circular or shield shape","Silver tier - refined, clean, aspirational. Fixed color.",SVG
rank-badge-border-gold,border,frame,P1,64x64,"Decorative badge frame, ornate gold styling, subtle flourishes, prestigious aesthetic, gold color (#FFD700), transparent center, circular or shield shape","Gold tier - prestigious, luxurious but not gaudy. Fixed color.",SVG
rank-badge-border-platinum,border,frame,P1,64x64,"Decorative badge frame, sleek platinum design, futuristic elements, premium minimal, platinum color (#E5E4E2), transparent center, circular or shield shape","Platinum tier - exclusive, modern, technical excellence. Fixed color.",SVG
rank-badge-border-diamond,border,frame,P1,64x64,"Decorative badge frame, crystalline faceted design, light blue diamond aesthetic, geometric precision, diamond color (#B9F2FF), transparent center, circular or shield shape","Diamond tier - rare, crystalline, geometric perfection. Fixed color.",SVG
rank-badge-border-mythic,border,frame,P1,64x64,"Decorative badge frame, ethereal/cosmic design, flowing energy lines, legendary aesthetic, single neutral gray on transparent background, circular or shield shape","Mythic tier - MUST be grayscale for theme tinting. Cosmic/legendary feel.",SVG
achievement-frame-standard,border,frame,P1,128x128,"Simple decorative frame, clean lines, minimal ornaments, suitable for achievement display, single neutral gray on transparent background, rectangular with rounded corners","Basic achievement frame. Tintable. Keep it clean and professional.",SVG
achievement-frame-gold,border,frame,P1,128x128,"Ornate decorative frame with flourishes, gold color (#FFD700), elegant scrollwork corners, prestigious styling, transparent center, rectangular","Premium achievement frame. Fixed gold color. More elaborate than standard.",SVG
particle-star-sprite,effect,particle,P1,16x16,"Four-pointed star, sharp geometric, single solid color, transparent background, perfectly centered, minimal design","For particle systems. Must be very simple. Tintable.",SVG
particle-ember-sprite,effect,particle,P2,16x16,"Fire ember shape, organic teardrop, warm orange color (#FF6B35), slight glow effect implied in shape, transparent background","For Iron Forge theme particles. Fixed warm color.",SVG
particle-spark-sprite,effect,particle,P2,16x16,"Electric spark, angular lightning bolt fragment, ice blue color (#06B6D4), sharp edges, transparent background","For Midnight Ice theme particles. Fixed cool color.",SVG
streak-badge,celebration,badge,P2,48x48,"Flame or fire streak icon, dynamic upward motion, single solid color on transparent background, flat design, bold shape","Represents workout streaks. Tintable. Energetic feel.",SVG
card-bg-texture-noise,background,texture,P2,256x256,"Uniform noise pattern, very subtle grain texture, mid-gray value, tileable/seamless edges, film grain aesthetic","Used as overlay at 5% opacity. Must tile seamlessly. Grayscale only.",PNG
